ID,SDI_SCORE,SOIR,SOIR_behavior,SOIR_attitude,SOIR_desire
350,66,41,7,26,8
351,58,48,16,27,5
352,64,21,4,12,5
353,61,27,10,9,8
354,63.88193202146691,29,3,13,14
355,79,23,3,15,5
356,60,41,10,21,10
357,61,38,11,22,5
358,93,35,3,22,11
359,64,13,6,3,4
360,75,41,10,16,16
361,73,35,5,20,10
362,67,42,8,20,14
363,61,36,4,19,14
364,54,25,6,12,7
365,28,10,4,3,3
366,83,50,7,25,18
367,72,32,6,20,6
368,54,33,4,23,6
369,91,31,6,15,10
370,36,21,4,14,3
371,62,32,4,16,12
372,68,41,4,19,18
373,68,25,6,16,3
374,70,23,3,14,6
375,63,31,6,15,10
376,43,31,11,16,4
377,39,16,4,9,3
378,42,21,4,13,4
379,51,41,19,18,4
380,47,36,10,12,14
381,56,33,9,18,6
382,32.17005480766566,22,3,14,5
383,14,19,7,9,3
384,96,35,12,17,6
385,69,12,3,5,4
386,71,24,3,11,10
387,64,22,7,8,7
388,57,27,12,12,3
389,54,28,4,15,9
390,50.92307692307692,11,5,3,3
391,96,45,5,20,20
392,66,40,8,15,18
393,63,26,5,15,6
394,43,32,6,18,8
395,57,37,13,21,3
396,56,15,4,8,3
397,64,57,14,27,17
398,44,11,5,3,3
399,96,53,4,27,22
400,74,23,5,10,8
401,59,19,4,11,4
402,71,26,5,15,6
403,58,42,13,12,17
404,66.53237410071942,34,5,23,6
405,62,29,4,15,10
406,66,44,4,27,14
407,47,26,4,15,7
408,86,47,12,24,11
409,83,59,15,22,22
410,63,39,13,20,6
411,14,23,5,15,3
412,66,46,10,21,15
413,74,36,8,18,10
414,63,28,14,11,3
415,31,24,3,17,4
416,27,26,3,19,4
417,83,35,5,17,14
418,52,25,5,14,6
419,68,55,16,27,12
420,28,30,10,17,3
421,66,33,5,12,16
422,46,29,7,15,7
423,28,20,3,12,5
424,48,20,4,11,5
425,57,31,6,19,6
426,38,45,17,15,14
427,58,19,3,10,6
428,58,16,4,6,6
429,56,20,3,10,7
430,47,10,4,3,3
431,22,34,12,17,5
432,20,24,4,14,6
433,78,37,20,12,5
434,36,29,3,15,12
435,59,35,12,18,5
436,66,34,5,20,9
437,82,55,16,19,20
438,38,15,4,8,3
439,60,38,4,21,13
440,64,37,10,19,8
441,45,25,4,12,9
442,83,41,3,21,17
443,11,9,3,3,3
444,73,22,6,13,3
445,67,37,6,21,10
446,48,35,4,23,8
447,76,37,4,21,13
448,74,38,17,4,18
449,68,28,7,16,5
450,47,32,15,13,4
451,63,33,4,21,8
452,76,26,4,17,5
453,59.41546762589928,15,3,9,3
454,47,10,4,3,3
455,41,13,4,6,3
456,54,41,6,21,15
457,24,28,18,5,5
458,59,34,10,19,5
459,35,25,5,15,5
460,28,26,5,15,6
461,48,20,3,13,4
462,74,56,20,22,14
463,63,46,11,18,17
464,73,40,8,22,10
465,59,36,10,19,7
466,57,27,7,14,6
467,64,26,4,18,4
468,71,27,3,13,12
469,63,37,4,23,10
470,56,43,6,23,15
471,52,25,3,16,6
472,50.768953068592054,41,4,27,11
473,64,45,10,27,8
474,88.322695035461,43,8,19,16
475,70,20,6,7,7
476,45,31,14,13,4
477,72,46,3,23,21
478,49,29,5,20,4
479,84,19,4,6,10
480,54.88309352517986,23,5,15,3
481,50,29,4,20,5
482,53,67,18,27,22
483,61,51,16,21,14
484,30,26,4,17,5
485,58,33,7,20,6
486,61,35,10,20,5
487,58,27,7,15,5
488,59,60,15,26,20
489,65,43,14,18,11
490,83,45,7,22,17
491,62,54,17,24,13
492,22,33,3,25,5
493,63,19,5,11,3
494,54,42,9,25,8
495,53,42,8,23,11
496,86,60,18,20,22
497,59,27,5,11,11
498,61,39,5,25,9
499,65,17,4,8,5
500,30,25,5,15,5
501,85,70,18,27,25
502,56,38,12,15,12
503,64,34,8,19,7
504,63.88309352517986,67,20,27,20
505,76,34,4,14,17
506,40,27,4,17,6
507,49,29,9,17,3
508,60,43,7,21,15
509,22,31,3,18,10
510,65,24,7,9,8
511,80.88309352517986,28,4,19,5
512,91,51,8,18,25
513,83,25,4,16,5
514,50,26,4,19,3
515,63,36,14,19,3
516,42,28,4,20,4
517,87,61,23,19,20
518,34,25,3,18,4
519,68,42,3,20,19
520,60,27,5,18,4
521,74,37,10,18,9
522,92,47,10,19,18
523,46,34,7,17,10
524,73,64,20,24,21
525,63,39,4.934397163120567,23,14
526,61,60,12,27,21
527,63,34,11,12,11
528,39,24,4,14,6
529,38,19,3,8,9
530,47,40,5,23,12
531,62,46,13,25,8
532,84,18,4,11,3
533,23,31,3,20,8
534,73,68,26,27,16
535,45,33,5,15,13
536,65,28,5,18,5
537,83,44,13,22,9
538,77,44,14,23,7
539,49,39,7,14,19
540,88,45,13,23,9
541,67,43,9,20,15
