ID,SDI_SCORE,LONEV3_SCORE,MSPSS_SCORE
399,96,74,1.6666666666666667
400,74,38,6.083333333333333
401,59,27,6.25
402,71,40,5.416666666666667
403,58,51,4.083333333333333
404,66.53237410071942,56,3.8333333333333335
405,62,49,5
406,66,50,4
407,47,41,6.416666666666667
408,86,33,6.666666666666667
409,83,56,3.0833333333333335
410,63,40,4
411,14,49,4.166666666666667
412,66,61,3.4166666666666665
413,74,44,5.666666666666667
414,63,52,4.25
415,31,40,4.583333333333333
416,27,67,3.5
417,83,51,3.8333333333333335
418,52,35,6.583333333333333
419,68,44,4.833333333333333
420,28,50,5.75
421,66,40,5.25
422,46,53,4.833333333333333
423,28,61,3.0833333333333335
424,48,59,4.333333333333333
425,57,49,4.25
426,38,49,5.5
427,58,71,2.0833333333333335
428,58,48,5.666666666666667
429,56,44,4.75
430,47,34,5.916666666666667
431,22,61,4.083333333333333
432,20,56,3.1666666666666665
433,78,24,7
434,36,61,3.4166666666666665
435,59,45,5.333333333333333
436,66,41,4.833333333333333
437,82,57,4.833333333333333
438,38,35,6
439,60,46,5.916666666666667
440,64,40,6.083333333333333
441,45,46,5.583333333333333
442,83,49,3.5833333333333335
443,11,53,4.833333333333333
444,73,44,3.6666666666666665
445,67,41,5.333333333333333
446,48,39,4.166666666666667
447,76,49,5.666666666666667
448,74,67,3.0833333333333335
449,68,44,5.75
450,47,31,6.416666666666667
451,63,39,4.916666666666667
452,76,65.85790408525754,3.6666666666666665
453,59.41546762589928,40,5.583333333333333
454,47,37,4.75
455,41,28,5.833333333333333
456,54,48,4.666666666666667
457,24,47,5.25
458,59,24,7
459,35,50,4.5
460,28,38,4.333333333333333
461,48,39,5.333333333333333
462,74,37,6.083333333333333
463,63,46,5.166666666666667
464,73,56.6063829787234,3.6666666666666665
465,59,35,6.75
466,57,40,6.416666666666667
467,64,44,6.75
468,71,68,2.6666666666666665
469,63,57,5.166666666666667
470,56,61,3.6666666666666665
471,52,69,4.166666666666667
472,50.768953068592054,55,4.583333333333333
473,64,61,5.166666666666667
474,88.322695035461,41,4.166666666666667
475,70,50,2.75
476,45,42,6
477,72,58,5
478,49,50,5.583333333333333
479,84,56,5.666666666666667
480,54.88309352517986,34,6
481,50,35,6.833333333333333
482,53,48,6
483,61,46,5.25
484,30,47,5.833333333333333
485,58,51,3.6666666666666665
486,61,41,7
487,58,48,6.333333333333333
488,59,42,5.416666666666667
489,65,60,4.75
490,83,32,7
491,62,52,4.416666666666667
492,22,39,5.916666666666667
493,63,31,5.333333333333333
494,54,53,4.333333333333333
495,53,54,6
496,86,40,6.833333333333333
497,59,60,4.083333333333333
498,61,56,5.5
499,65,47,6.916666666666667
500,30,58,4.666666666666667
501,85,48,4.416666666666667
502,56,44,5.583333333333333
503,64,46,6.833333333333333
504,63.88309352517986,47,6.583333333333333
505,76,73,2
506,40,50,5.25
507,49,21,6.916666666666667
508,60,58,4.666666666666667
509,22,55,4.25
510,65,43,6.333333333333333
511,80.88309352517986,51,4.583333333333333
512,91,63,4.416666666666667
513,83,48,5.25
514,50,23,1
515,63,29,6.75
516,42,63,5.75
517,87,35,6.25
518,34,67,2.5833333333333335
519,68,58,2.6666666666666665
520,60,35,5.333333333333333
521,74,31,6.083333333333333
522,92,50,6
523,46,44,4.833333333333333
524,73,45,6.5
525,63,66,4.25
526,61,46,4.25
527,63,55,5.75
